Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role,Notes
Cosmic Gambit,1,Acceptable Losses,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,2,Asteroid Mining,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Black Market,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,2,Exploration,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Hidden Base,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Secret Outpost,,Base,Unaligned,,4 Outpost,Token,Note: Both sides of this card are the same.
Cosmic Gambit,2,Rapid Deployment,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Triumphant Return,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Two-Pronged Attack,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Veteran Pilots,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Wild Gambit,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Rules (Gambits Part 1) | Rules (Gambits Part 2),,Rules,,,,Rules,
