Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role,Notes
Frontiers,1,Blob Alpha,{Gain 10 Combat},Ship,Blob,6,,Trade Deck,
Frontiers,3,Blob Miner,"{Gain 3 Trade}
You may scrap a card in the trade row.
<hr>
{Scrap}: {Gain 2 Combat}",Ship,Blob,2,,Trade Deck,
Frontiers,2,Burrower,"{Gain 5 Combat}
<hr>
{Blob Ally}: Draw a card.
<hr>
{Scrap}: Acquire a card of cost four or less for free.",Ship,Blob,3,,Trade Deck,
Frontiers,2,Crusher,"{Gain 6 Combat}
<hr>
{Blob Ally}: {Gain 2 Trade}",Ship,Blob,3,,Trade Deck,
Frontiers,1,Hive Queen,"{Gain 7 Combat} Draw a card.
<hr>
{Blob Ally}: {Gain 3 Combat}
<hr>
{Double Blob Ally}: {Gain 3 Combat}",Ship,Blob,7,,Trade Deck,
Frontiers,1,Infested Moon,"{Gain 4 Combat}
<hr>
{Blob Ally}: Draw a card.
<hr>
{Double Blob Ally}: Draw a card.",Base,Blob,6,5,Trade Deck,
Frontiers,2,Moonwurm Hatchling,"{Gain 3 Trade} or destroy target base.
<hr>
{Blob Ally}: {Gain 3 Combat}
<hr>
{Double Blob Ally}: {Gain 3 Combat}",Ship,Blob,4,,Trade Deck,
Frontiers,1,Nesting Ground,"{Gain 2 Trade}
<hr>
{Blob Ally}: {Gain 4 Combat}",Base,Blob,4,5,Trade Deck,
Frontiers,1,Pulverizer,"Scrap a card in the trade row, and gain {Combat} equal to its cost.
<hr>
{Blob Ally}: Draw a card.",Ship,Blob,5,,Trade Deck,
Frontiers,2,Spike Cluster,"{Gain 2 Combat}
<hr>
{Blob Ally}: {Gain 1 Trade}",Base,Blob,2,3,Trade Deck,
Frontiers,3,Stinger,"{Gain 3 Combat}
<hr>
{Blob Ally}: {Gain 3 Combat}
<hr>
{Scrap}: {Gain 1 Trade}",Ship,Blob,1,,Trade Deck,
Frontiers,1,Swarm Cluster,"{Gain 5 Combat}
<hr>
{Blob Ally}: {Gain 3 Combat}
<hr>
{Double Blob Ally}: {Gain 3 Combat}",Base,Blob,8,8,Trade Deck,
Frontiers,3,Builder Bot,"{Gain 1 Trade} You may scrap a card in your discard pile.
<hr>
{Machine Cult Ally}: {Gain 1 Trade}
<hr>
{Scrap}: {Gain 2 Combat}",Ship,Machine Cult,1,,Trade Deck,
Frontiers,1,Conversion Yard,"You may scrap a card in your hand. If you do, gain {4 Combat}",Base,Machine Cult,5,4 Outpost,Trade Deck,
Frontiers,2,Defense System,"{Gain 2 Combat}
<hr>
{Machine Cult Ally}: {Gain 2 Combat}",Base,Machine Cult,4,5 Outpost,Trade Deck,
Frontiers,3,Destroyer Bot,"{Gain 5 Combat}
You may scrap a card in your discard pile.",Ship,Machine Cult,3,,Trade Deck,
