Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role,Notes
Gambit,3,Merc Cruiser,,Ship,Unaligned,3,,Trade Deck,
Gambit,1,Bold Raid,,Gambit,Unaligned,,,Gambit,
Gambit,2,Energy Shield,,Gambit,Unaligned,,,Gambit,"<a href=""https://www.starrealms.com/faq/#errata"">Optional Errata</a> - This card now has the secondary ability ""{Scrap}: Draw a card."""
Gambit,2,Frontier Fleet,,Gambit,Unaligned,,,Gambit,
Gambit,1,Political Maneuver,,Gambit,Unaligned,,,Gambit,
Gambit,2,Rise to Power,,Gambit,Unaligned,,,Gambit,
Gambit,1,Salvage Operation,,Gambit,Unaligned,,,Gambit,
Gambit,1,Smuggling Run,,Gambit,Unaligned,,,Gambit,
Gambit,1,Surprise Assault,,Gambit,Unaligned,,,Gambit,
Gambit,1,Unlikely Alliance,,Gambit,Unaligned,,,Gambit,
Gambit,1,Wild Gambit,,Gambit,Unaligned,,,Gambit,
Gambit,1,Nemesis Beast | Rules (Nemesis Beast),,Solo Challenge,,,50 x Players,Challenge,
Gambit,1,Nemesis Beast | Rules (Nemesis Beast),,Co-op Challenge,,,50 x Players,Challenge,
Gambit,1,Pirates of the Dark Star | Rules (Pirates of the Dark Star),,Solo Challenge,,,25 x Players,Challenge,
Gambit,1,Pirates of the Dark Star | Rules (Pirates of the Dark Star),,Co-op Challenge,,,25 x Players,Challenge,
