Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role,Notes
Scenarios,1,Border Skirmish,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Buyer’s Market,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Commitment to the Cause,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Early Recruitment,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Emergency Repairs,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Entrenched Loyalties,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Flare Mining,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Fleeting Opportunities,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Frantic Preparations,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Frontier Expedition,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Maximum Warp,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Picking Sides,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Prolonged Conflict,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Rapid Construction,,Scenario,Unaligned,,,Scenario,"<a href=""https://www.starrealms.com/faq/#errata"">Errata</a> - A card only goes on top of your deck if it would normally go to your discard pile. Heroes enter play as normal."
Scenarios,1,Ready Reserves,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Recruiting Drive,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Rushed Defenses,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Ruthless Efficiency,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Total War,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Warpgate Nexus,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Rules (Scenarios) | Ad (Hero Realms),,Rules,,,,Rules,
