Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role,Notes
United: Missions,1,Ally,,Mission,Unaligned,,,Mission,
United: Missions,1,Armada,,Mission,Unaligned,,,Mission,
United: Missions,1,Colonize,,Mission,Unaligned,,,Mission,
United: Missions,1,Convert,,Mission,Unaligned,,,Mission,
United: Missions,1,Defend,,Mission,Unaligned,,,Mission,
United: Missions,1,Diversify,,Mission,Unaligned,,,Mission,
United: Missions,1,Dominate,,Mission,Unaligned,,,Mission,
United: Missions,1,Exterminate,,Mission,Unaligned,,,Mission,
United: Missions,1,Influence,,Mission,Unaligned,,,Mission,
United: Missions,1,Monopolize,,Mission,Unaligned,,,Mission,
United: Missions,1,Rule,,Mission,Unaligned,,,Mission,
United: Missions,1,Unite,,Mission,Unaligned,,,Mission,"<a href=""https://www.starrealms.com/faq/#errata"">Errata</a> - Objective clarified."
United: Missions,1,Rules (Missions) | Ad (Hero Realms),,Rules,,,,Rules,
